MODIFIED_ZCTA,NEIGHBORHOOD_NAME,COVID_CASE_COUNT_WEEK4,COVID_CASE_COUNT_WEEK3,COVID_CASE_COUNT_WEEK2,COVID_CASE_COUNT_WEEK1,COVID_CASE_COUNT_4WEEK,COVID_CASE_RATE_WEEK4,COVID_CASE_RATE_WEEK3,COVID_CASE_RATE_WEEK2,COVID_CASE_RATE_WEEK1,COVID_CASE_RATE_4WEEK,PCT_CHANGE_2WEEK,COVID_DEATH_COUNT_4WEEK,COVID_DEATH_RATE_4WEEK,NUM_PEOP_TEST_4WEEK,TESTING_RATE_4WEEK,PERCENT_POSITIVE_4WEEK
11377,Woodside,13,12,11,9,45,15.03,13.88,12.72,10.41,52.04,-20,0,0,5759,6660.22,0.78
11378,Maspeth,5,5,7,3,20,14.45,14.45,20.24,8.67,57.81,0,0,0,2095,6056.06,0.95
11379,Middle Village,3,4,5,7,19,8.29,11.05,13.81,19.34,52.49,71,2,5.53,2459,6793.65,0.77
11385,Glendale/Ridgewood,28,14,9,14,65,27.2,13.6,8.74,13.6,63.15,-45,0,0,5852,5685.42,1.11
11411,Cambria Heights,1,1,3,0,5,4.88,4.88,14.64,0,24.4,50,0,0,1098,5357.6,0.46
11412,St. Albans,6,6,4,4,20,15.25,15.25,10.17,10.17,50.83,-33,1,2.54,2201,5593.83,0.91
11413,Laurelton/Rosedale,4,5,4,6,19,9.16,11.46,9.16,13.75,43.53,11,0,0,2350,5383.98,0.81
11414,Hamilton Beach/Howard Beach/Lindenwood,9,2,8,6,25,31.84,7.08,28.3,21.23,88.45,27,1,3.54,1594,5639.37,1.57
11415,Kew Gardens,1,1,3,5,10,5.2,5.2,15.6,26,51.99,300,1,5.2,1361,7075.92,0.73
11416,Ozone Park,8,6,5,7,26,30.06,22.54,18.79,26.3,97.69,-14,0,0,1257,4723,2.07
11417,Ozone Park,4,7,10,3,24,12.79,22.39,31.98,9.59,76.75,18,1,3.2,1658,5302.1,1.45
11418,Richmond Hill,4,7,2,6,19,10.5,18.37,5.25,15.75,49.86,-27,1,2.62,1762,4624.05,1.08
11419,Richmond Hill/South Ozone Park,2,10,8,11,31,3.93,19.67,15.73,21.63,60.97,58,0,0,1922,3779.83,1.61
11420,South Ozone Park,9,5,11,16,41,18.59,10.33,22.72,33.05,84.68,93,0,0,2180,4502.67,1.88
11421,Woodhaven,12,11,7,5,35,28.43,26.06,16.58,11.85,82.92,-48,0,0,2052,4861.47,1.71
11422,Rosedale,3,2,2,6,13,8.9,5.93,5.93,17.79,38.55,60,0,0,1774,5260.72,0.73
11423,Hollis/Holliswood,6,6,6,6,24,18.73,18.73,18.73,18.73,74.9,0,1,3.12,1767,5514.78,1.36
11426,Bellerose,4,1,2,3,10,19.64,4.91,9.82,14.73,49.11,0,0,0,951,4670.17,1.05
11427,Bellerose/Hollis Hills/Holliswood,6,1,2,5,14,25.85,4.31,8.62,21.54,60.31,0,0,0,1428,6151.89,0.98
11428,Queens Village,6,2,3,3,14,31.04,10.35,15.52,15.52,72.44,-25,0,0,1056,5463.73,1.33
11429,Queens Village,1,3,3,3,10,3.57,10.7,10.7,10.7,35.67,50,0,0,1683,6002.93,0.59
11432,Hillcrest/Jamaica Estates/Jamaica Hills,6,17,26,17,66,9.49,26.9,41.14,26.9,104.44,87,0,0,3239,5125.37,2.04
11433,Jamaica,10,6,10,4,30,27.75,16.65,27.75,11.1,83.25,-13,0,0,1911,5303.07,1.57
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,6,6,7,9,28,8.88,8.88,10.36,13.33,41.46,33,2,2.96,3920,5804.3,0.71
11435,Briarwood/Jamaica,8,15,10,11,44,13.87,26.01,17.34,19.08,76.3,-9,0,0,2826,4900.82,1.56
11436,South Jamaica/South Ozone Park,4,1,2,2,9,19.22,4.81,9.61,9.61,43.25,-20,0,0,928,4459.95,0.97
11691,Edgemere/Far Rockaway,20,18,20,23,81,30.88,27.8,30.88,35.52,125.08,13,2,3.09,4474,6908.69,1.81
11692,Arverne/Edgemere,6,5,7,2,20,29.82,24.85,34.79,9.94,99.4,-18,0,0,1573,7818,1.27
11693,Arverne/Broad Channel,2,0,1,0,3,16.15,0,8.08,0,24.23,-50,0,0,670,5411.4,0.45
11694,Belle Harbor-Neponsit/Rockaway Park,3,5,4,7,19,14.74,24.56,19.65,34.39,93.34,38,2,9.83,1389,6823.61,1.37
11697,Breezy Point,0,2,0,1,3,0,56.55,0,28.28,84.83,-50,0,0,286,8086.66,1.05
