MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,label,lat,lon,COVID_CONFIRMED_CASE_COUNT,COVID_PROBABLE_CASE_COUNT,COVID_CASE_COUNT,COVID_CONFIRMED_CASE_RATE,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE
11364,Bayside (South)/Oakland Gardens,Queens,11364,40.745279,-73.760578,9947,3348,13295,27871.88,37253.11,35688.29,121,339.05
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,Queens,11365,40.739775,-73.794806,13208,4922,18130,30144.88,41378.45,43815.08,216,492.98
11366,Fresh Meadows/Hillcrest,Queens,11366,40.728136,-73.784981,4470,1049,5519,31460.84,38843.94,14208.14,75,527.87
11367,Kew Gardens Hills/Pomonok,Queens,11367,40.730383,-73.826297,13772,3795,17567,33857.77,43187.59,40676.04,187,459.73
11368,Corona/North Corona,Queens,11368,40.749594,-73.852604,37617,7712,45329,34082.7,41070.12,110369.78,705,638.76
11369,Airport/East Elmhurst,Queens,11369,40.768944,-73.872812,14324,3218,17542,42595.78,52165.26,33627.74,318,945.65
11370,Jackson Heights/Rikers Island,Queens,11370,40.763466,-73.891021,10813,3029,13842,34027.4,43559.35,31777.34,141,443.71
11372,Jackson Heights,Queens,11372,40.75169,-73.883634,23988,5433,29421,39530.2,48483.32,60682.72,466,767.93
11373,Elmhurst,Queens,11373,40.738823,-73.8785,35792,7002,42794,39050.49,46689.95,91655.7,540,589.16
11374,Rego Park,Queens,11374,40.726441,-73.861497,16642,3396,20038,40204.14,48408.28,41393.74,251,606.37
11375,Forest Hills,Queens,11375,40.720931,-73.846184,23822,5846,29668,33426.64,41629.65,71266.52,462,648.27
11377,Woodside,Queens,11377,40.744823,-73.90516,33032,7699,40731,39301.3,48461.53,84048.11,474,563.96
11378,Maspeth,Queens,11378,40.724768,-73.909399,13139,3742,16881,36350.36,46702.97,36145.45,171,473.09
11379,Middle Village,Queens,11379,40.716758,-73.879597,13250,3461,16711,36166.13,45613,36636.49,291,794.29
11385,Glendale/Ridgewood,Queens,11385,40.701058,-73.890159,37961,6080,44041,36636.52,42504.39,103615.19,372,359.02
11411,Cambria Heights,Queens,11411,40.694202,-73.735998,6618,1700,8318,30956.91,38908.97,21378.1,106,495.83
11412,St. Albans,Queens,11412,40.698095,-73.758984,13437,3151,16588,35269.95,43540.82,38097.58,197,517.09
11413,Laurelton/Rosedale,Queens,11413,40.669738,-73.750842,13966,3381,17347,32323.55,40148.7,43206.88,247,571.67
11414,Hamilton Beach/Howard Beach/Lindenwood,Queens,11414,40.658266,-73.844905,11196,3532,14728,39480.37,51935.24,28358.4,212,747.57
11415,Kew Gardens,Queens,11415,40.708323,-73.828212,7320,1193,8513,38785.51,45106.7,18873.03,121,641.13
11416,Ozone Park,Queens,11416,40.684652,-73.849549,10871,1636,12507,41194.23,47393.64,26389.62,145,549.46
11417,Ozone Park,Queens,11417,40.676457,-73.844522,12411,3082,15493,39982.17,49910.87,31041.34,146,470.34
11418,Richmond Hill,Queens,11418,40.700236,-73.836062,14244,2221,16465,37897.49,43806.67,37585.6,191,508.17
11419,Richmond Hill/South Ozone Park,Queens,11419,40.688676,-73.822901,17398,2831,20229,35868.53,41705.05,48504.92,252,519.53
11420,South Ozone Park,Queens,11420,40.673518,-73.817812,17308,3226,20534,36182.67,42926.68,47835.06,252,526.81
11421,Woodhaven,Queens,11421,40.69405,-73.85867,17088,2966,20054,42667.2,50073.04,40049.5,228,569.3
11422,Rosedale,Queens,11422,40.660819,-73.73608,10898,2656,13554,33647.17,41847.47,32389.06,164,506.34
11423,Hollis/Holliswood,Queens,11423,40.71491,-73.767865,11101,2560,13661,35650.51,43871.87,31138.4,245,786.81
11426,Bellerose,Queens,11426,40.736521,-73.722384,6763,1861,8624,33540.67,42770.18,20163.58,86,426.51
11427,Bellerose/Hollis Hills/Holliswood,Queens,11427,40.730915,-73.745611,8130,2114,10244,34488.87,43456.82,23572.82,119,504.82
11428,Queens Village,Queens,11428,40.721015,-73.742206,6791,2163,8954,36548.24,48189.21,18580.92,119,640.44
11429,Queens Village,Queens,11429,40.709772,-73.738731,9479,2668,12147,34085.62,43679.51,27809.38,176,632.88
11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,11432,40.715359,-73.793064,21615,4176,25791,35577.49,42451.03,60754.71,496,816.4
11433,Jamaica,Queens,11433,40.69823,-73.787095,12688,2933,15621,34740.78,42771.57,36521.92,222,607.85
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,11434,40.656866,-73.783386,22076,6025,28101,33066.04,42090.45,66763.37,440,659.04
11435,Briarwood/Jamaica,Queens,11435,40.701291,-73.809618,19760,4944,24704,33826.9,42290.48,58415.04,344,588.89
11436,South Jamaica/South Ozone Park,Queens,11436,40.675819,-73.796618,6923,1450,8373,34541.53,41776.14,20042.54,103,513.91
11691,Edgemere/Far Rockaway,Queens,11691,40.60133,-73.761357,24995,3015,28010,37386.15,41895.82,66856.31,692,1035.06
11692,Arverne/Edgemere,Queens,11692,40.592794,-73.792203,6958,1347,8305,33087.44,39492.84,21029.13,166,789.38
11693,Arverne/Broad Channel,Queens,11693,40.603699,-73.821926,4192,1009,5201,33080.44,41042.79,12672.14,74,583.96
11694,Belle Harbor-Neponsit/Rockaway Park,Queens,11694,40.577599,-73.844553,7321,1792,9113,35232.01,43855.94,20779.4,155,745.93
11697,Breezy Point,Queens,11697,40.55907,-73.907199,1775,386,2161,52319.5,63697.14,3392.62,23,677.94
